item>>brand,item>>categories,item>>color,item>>currency,item>>description,item>>gender,item>>image,item>>instock,item>>price,item>>rating,item>>reviews,item>>seller,item>>size,item>>sku,item>>title,item>>url
ASOS DESIGN,"Women, Dresses, Party Dresses",Pale khaki,GBP,Mini dress by ASOS DESIGN Cue the party playlist Peak lapels Wrap-over design Belted waist Structured shoulders Mini length Regular fit Just select your usual size,Women,https://images.asos-media.com/products/asos-design-collared-wrap-mini-dress-in-khaki/14067209-1-palekhaki?$n_1280w$,yes,38.0,3.6,96,,UK 4,9414846,ASOS DESIGN collared wrap mini dress in khaki,https://www.asos.com/asos-design/asos-design-collared-wrap-mini-dress-in-khaki/prd/14067209
ASOS DESIGN,"Women, Dresses, Party Dresses",Pale khaki,GBP,Mini dress by ASOS DESIGN Cue the party playlist Peak lapels Wrap-over design Belted waist Structured shoulders Mini length Regular fit Just select your usual size,Women,https://images.asos-media.com/products/asos-design-collared-wrap-mini-dress-in-khaki/14067209-1-palekhaki?$n_1280w$,yes,38.0,3.6,96,,UK 6,9414847,ASOS DESIGN collared wrap mini dress in khaki,https://www.asos.com/asos-design/asos-design-collared-wrap-mini-dress-in-khaki/prd/14067209
ASOS DESIGN,"Women, Dresses, Party Dresses",Pale khaki,GBP,Mini dress by ASOS DESIGN Cue the party playlist Peak lapels Wrap-over design Belted waist Structured shoulders Mini length Regular fit Just select your usual size,Women,https://images.asos-media.com/products/asos-design-collared-wrap-mini-dress-in-khaki/14067209-1-palekhaki?$n_1280w$,yes,38.0,3.6,96,,UK 8,9414848,ASOS DESIGN collared wrap mini dress in khaki,https://www.asos.com/asos-design/asos-design-collared-wrap-mini-dress-in-khaki/prd/14067209
ASOS DESIGN,"Women, Dresses, Party Dresses",Pale khaki,GBP,Mini dress by ASOS DESIGN Cue the party playlist Peak lapels Wrap-over design Belted waist Structured shoulders Mini length Regular fit Just select your usual size,Women,https://images.asos-media.com/products/asos-design-collared-wrap-mini-dress-in-khaki/14067209-1-palekhaki?$n_1280w$,yes,38.0,3.6,96,,UK 10,9414849,ASOS DESIGN collared wrap mini dress in khaki,https://www.asos.com/asos-design/asos-design-collared-wrap-mini-dress-in-khaki/prd/14067209
ASOS DESIGN,"Women, Dresses, Party Dresses",Pale khaki,GBP,Mini dress by ASOS DESIGN Cue the party playlist Peak lapels Wrap-over design Belted waist Structured shoulders Mini length Regular fit Just select your usual size,Women,https://images.asos-media.com/products/asos-design-collared-wrap-mini-dress-in-khaki/14067209-1-palekhaki?$n_1280w$,yes,38.0,3.6,96,,UK 12,9414850,ASOS DESIGN collared wrap mini dress in khaki,https://www.asos.com/asos-design/asos-design-collared-wrap-mini-dress-in-khaki/prd/14067209
ASOS DESIGN,"Women, Dresses, Party Dresses",Pale khaki,GBP,Mini dress by ASOS DESIGN Cue the party playlist Peak lapels Wrap-over design Belted waist Structured shoulders Mini length Regular fit Just select your usual size,Women,https://images.asos-media.com/products/asos-design-collared-wrap-mini-dress-in-khaki/14067209-1-palekhaki?$n_1280w$,yes,38.0,3.6,96,,UK 14,9414851,ASOS DESIGN collared wrap mini dress in khaki,https://www.asos.com/asos-design/asos-design-collared-wrap-mini-dress-in-khaki/prd/14067209
ASOS DESIGN,"Women, Dresses, Party Dresses",Pale khaki,GBP,Mini dress by ASOS DESIGN Cue the party playlist Peak lapels Wrap-over design Belted waist Structured shoulders Mini length Regular fit Just select your usual size,Women,https://images.asos-media.com/products/asos-design-collared-wrap-mini-dress-in-khaki/14067209-1-palekhaki?$n_1280w$,yes,38.0,3.6,96,,UK 16,9414852,ASOS DESIGN collared wrap mini dress in khaki,https://www.asos.com/asos-design/asos-design-collared-wrap-mini-dress-in-khaki/prd/14067209
ASOS DESIGN,"Women, Dresses, Party Dresses",Pale khaki,GBP,Mini dress by ASOS DESIGN Cue the party playlist Peak lapels Wrap-over design Belted waist Structured shoulders Mini length Regular fit Just select your usual size,Women,https://images.asos-media.com/products/asos-design-collared-wrap-mini-dress-in-khaki/14067209-1-palekhaki?$n_1280w$,yes,38.0,3.6,96,,UK 18,9414853,ASOS DESIGN collared wrap mini dress in khaki,https://www.asos.com/asos-design/asos-design-collared-wrap-mini-dress-in-khaki/prd/14067209
ASOS DESIGN,"Women, Dresses, Party Dresses",SOFT GREEN,GBP,Mini dress by ASOS DESIGN Love at first scroll V-neck Button placket Regular fit,Women,https://images.asos-media.com/products/asos-design-button-through-ruched-waist-pleated-mini-dress-in-metallic-dobby-in-soft-green/202219275-1-softgreen?$n_1280w$,yes,51.0,3.6,5,,UK 4,116008754,ASOS DESIGN button through ruched waist pleated mini dress in metallic dobby in soft green,https://www.asos.com/asos-design/asos-design-button-through-ruched-waist-pleated-mini-dress-in-metallic-dobby-in-soft-green/prd/202219275
ASOS DESIGN,"Women, Dresses, Party Dresses",SOFT GREEN,GBP,Mini dress by ASOS DESIGN Love at first scroll V-neck Button placket Regular fit,Women,https://images.asos-media.com/products/asos-design-button-through-ruched-waist-pleated-mini-dress-in-metallic-dobby-in-soft-green/202219275-1-softgreen?$n_1280w$,yes,51.0,3.6,5,,UK 6,116008755,ASOS DESIGN button through ruched waist pleated mini dress in metallic dobby in soft green,https://www.asos.com/asos-design/asos-design-button-through-ruched-waist-pleated-mini-dress-in-metallic-dobby-in-soft-green/prd/202219275
